Date,Open,High,Low,Close,Adj Close,Volume
2016-09-28,1300.0,1350.0,1250.0,1260.0,1137.395752,15357100
2016-09-29,1260.0,1265.0,1250.0,1250.0,1128.3688960000002,2904700
2016-09-30,1250.0,1250.0,1210.0,1210.0,1092.260986,2025800
2016-10-03,1220.0,1245.0,1210.0,1230.0,1110.314941,1622800
2016-10-04,1230.0,1245.0,1230.0,1235.0,1114.828491,529200
2016-10-05,1230.0,1235.0,1230.0,1235.0,1114.828491,427700
2016-10-06,1245.0,1280.0,1245.0,1280.0,1155.449707,1807100
2016-10-07,1275.0,1280.0,1275.0,1275.0,1150.936157,604900
2016-10-10,1275.0,1300.0,1270.0,1295.0,1168.990112,2571700
2016-10-11,1295.0,1300.0,1290.0,1295.0,1168.990112,624600
2016-10-12,1295.0,1295.0,1285.0,1285.0,1159.963135,112500
2016-10-13,1285.0,1300.0,1285.0,1300.0,1173.50354,207500
2016-10-14,1300.0,1300.0,1290.0,1290.0,1164.4765630000002,12000
2016-10-17,1285.0,1310.0,1285.0,1310.0,1182.530518,366100
2016-10-18,1300.0,1300.0,1295.0,1295.0,1168.990112,5700
2016-10-19,1300.0,1300.0,1300.0,1300.0,1173.50354,51700
2016-10-20,1295.0,1295.0,1295.0,1295.0,1168.990112,10700
2016-10-21,1295.0,1295.0,1295.0,1295.0,1168.990112,25900
2016-10-24,1295.0,1295.0,1295.0,1295.0,1168.990112,1400
2016-10-25,1295.0,1300.0,1295.0,1300.0,1173.50354,63400
2016-10-26,1300.0,1300.0,1295.0,1300.0,1173.50354,504700
2016-10-27,1295.0,1295.0,1295.0,1295.0,1168.990112,17400
2016-10-28,1295.0,1295.0,1295.0,1295.0,1168.990112,4100
2016-10-31,1295.0,1300.0,1295.0,1295.0,1168.990112,169300
2016-11-01,1295.0,1310.0,1295.0,1295.0,1168.990112,96300
2016-11-02,1295.0,1295.0,1295.0,1295.0,1168.990112,2000
2016-11-03,1295.0,1295.0,1295.0,1295.0,1168.990112,350900
2016-11-04,1295.0,1295.0,1295.0,1295.0,1168.990112,17200
2016-11-07,1295.0,1300.0,1295.0,1295.0,1168.990112,934500
2016-11-08,1300.0,1300.0,1300.0,1300.0,1173.50354,5700
2016-11-09,1295.0,1295.0,1295.0,1295.0,1168.990112,510300
2016-11-10,1295.0,1295.0,1295.0,1295.0,1168.990112,15700
2016-11-11,1295.0,1295.0,1295.0,1295.0,1168.990112,32800
2016-11-14,1280.0,1280.0,1280.0,1280.0,1155.449707,2000000
2016-11-15,1270.0,1270.0,1270.0,1270.0,1146.422729,279100
2016-11-16,1270.0,1270.0,1270.0,1270.0,1146.422729,675500
2016-11-17,1270.0,1270.0,1270.0,1270.0,1146.422729,400
2016-11-18,1270.0,1270.0,1270.0,1270.0,1146.422729,4200
2016-11-21,1270.0,1270.0,1270.0,1270.0,1146.422729,0
2016-11-22,1270.0,1270.0,1270.0,1270.0,1146.422729,7200
2016-11-23,1270.0,1270.0,1270.0,1270.0,1146.422729,300
2016-11-24,1270.0,1270.0,1270.0,1270.0,1146.422729,16000
2016-11-25,1270.0,1270.0,1270.0,1270.0,1146.422729,5500
2016-11-28,1270.0,1270.0,1270.0,1270.0,1146.422729,0
2016-11-29,1270.0,1270.0,1270.0,1270.0,1146.422729,3900
2016-11-30,1290.0,1290.0,1290.0,1290.0,1164.4765630000002,100
2016-12-01,1290.0,1290.0,1290.0,1290.0,1164.4765630000002,0
2016-12-02,1290.0,1290.0,1290.0,1290.0,1164.4765630000002,0
2016-12-05,1290.0,1290.0,1290.0,1290.0,1164.4765630000002,61100
2016-12-06,1290.0,1290.0,1290.0,1290.0,1164.4765630000002,54500
2016-12-07,1300.0,1300.0,1295.0,1295.0,1168.990112,200
2016-12-08,1290.0,1290.0,1290.0,1290.0,1164.4765630000002,2900
2016-12-09,1290.0,1290.0,1290.0,1290.0,1164.4765630000002,100
2016-12-13,1290.0,1290.0,1290.0,1290.0,1164.4765630000002,200
2016-12-14,1290.0,1290.0,1290.0,1290.0,1164.4765630000002,29100
2016-12-15,1290.0,1330.0,1290.0,1320.0,1191.557373,30030000
2016-12-16,1320.0,1340.0,1320.0,1340.0,1209.61145,32506300
2016-12-19,1340.0,1340.0,1340.0,1340.0,1209.61145,200
