Date,Open,High,Low,Close,Adj Close,Volume
2001-12-13,59.375,59.375,46.875,46.875,14.488636999999999,0
2001-12-19,50.0,50.0,46.875,46.875,14.488636999999999,0
2001-12-20,46.875,46.875,46.875,46.875,14.488636999999999,40000
2001-12-21,49.375,50.0,49.375,50.0,15.454545999999999,116000
2001-12-26,46.875,46.875,46.875,46.875,14.488636999999999,40000
2001-12-27,53.125,53.125,46.875,46.875,14.488636999999999,0
2001-12-28,53.125,53.125,52.5,52.5,16.227273999999998,16000
2002-01-02,50.0,50.0,48.125,48.125,14.875001000000001,88000
2002-01-04,48.125,48.125,48.125,48.125,14.875001000000001,60000
2002-01-07,53.125,53.125,38.125,38.125,11.784091,0
2002-01-08,50.0,50.0,46.25,46.25,14.295454999999999,0
2002-01-09,46.875,46.875,46.875,46.875,14.488636999999999,12000
2002-01-10,50.0,50.0,47.5,47.5,14.681819,80000
2002-01-11,50.0,50.0,50.0,50.0,15.454545999999999,60000
2002-01-14,53.125,53.125,48.125,48.125,14.875001000000001,0
2002-01-15,55.0,55.0,55.0,55.0,17.0,8000
2002-01-16,53.125,53.125,53.125,53.125,16.420456,260000
2002-01-17,54.375,54.375,51.25,51.25,15.840910000000001,0
2002-01-18,56.25,56.25,51.25,51.25,15.840910000000001,0
2002-01-21,55.0,55.0,53.125,53.125,16.420456,0
2002-01-22,61.25,61.25,51.875,51.875,16.034092,0
2002-01-23,51.875,51.875,51.875,51.875,16.034092,16000
2002-01-24,61.875,61.875,52.5,52.5,16.227273999999998,0
2002-01-25,55.0,55.0,53.125,53.125,16.420456,68000
2002-01-28,59.375,59.375,53.125,53.125,16.420456,0
2002-01-29,53.125,56.25,53.125,56.25,17.386364,72000
2002-01-30,59.375,59.375,53.125,53.125,16.420456,0
2002-02-01,56.25,56.25,56.25,56.25,17.386364,60000
2002-02-04,53.75,53.75,53.75,53.75,16.613636,20000
2002-02-05,54.375,54.375,54.375,54.375,16.806818,80000
2002-02-06,54.375,54.375,53.75,53.75,16.613636,0
2002-02-07,57.5,57.5,53.125,53.125,16.420456,0
2002-02-08,58.75,58.75,53.125,53.125,16.420456,0
2002-02-11,54.375,59.375,54.375,59.375,18.352272,20000
2002-02-13,58.75,58.75,53.125,53.125,16.420456,0
2002-02-14,56.25,56.25,53.125,53.125,16.420456,0
2002-02-15,56.25,56.25,53.125,53.125,16.420456,0
2002-02-18,53.125,53.75,53.125,53.125,16.420456,212000
2002-02-19,53.75,53.75,53.125,53.125,16.420456,0
2002-02-20,53.125,53.75,53.125,53.75,16.613636,200000
2002-02-21,56.25,56.25,56.25,56.25,17.386364,20000
2002-02-25,55.625,55.625,53.75,53.75,16.613636,0
2002-02-26,53.75,53.75,53.75,53.75,16.613636,200000
2002-02-27,53.75,53.75,53.125,53.125,16.420456,0
2002-02-28,53.125,53.125,53.125,53.125,16.420456,4000
2002-03-01,56.25,56.25,53.125,53.125,16.420456,0
2002-03-04,53.125,53.125,53.125,53.125,16.420456,200000
2002-03-05,62.5,62.5,53.125,53.125,16.420456,0
2002-03-06,62.5,62.5,53.125,53.125,16.420456,0
2002-03-07,53.125,53.125,53.125,53.125,16.420456,20000
2002-03-08,61.875,61.875,53.125,53.125,16.420456,0
2002-03-11,56.25,56.25,53.125,53.125,16.420456,0
2002-03-12,53.75,53.75,53.75,53.75,16.613636,8000
2002-03-13,60.625,60.625,60.625,60.625,18.738636,400000
2002-03-14,62.5,62.5,53.75,53.75,16.613636,0
2002-03-18,62.5,62.5,54.375,54.375,16.806818,0
2002-03-19,74.375,74.375,53.75,53.75,16.613636,0
2002-03-20,57.5,57.5,57.5,57.5,17.772726000000002,516000
2002-03-21,57.5,57.5,57.5,57.5,17.772726000000002,32000
2002-03-22,62.5,62.5,57.5,57.5,17.772726000000002,0
2002-03-25,62.5,62.5,57.5,57.5,17.772726000000002,0
2002-03-26,62.5,62.5,57.5,57.5,17.772726000000002,0
2002-03-27,71.875,71.875,53.75,53.75,16.613636,0
2002-03-28,62.5,62.5,56.25,56.25,17.386364,0
